FID,DWR_ID,Latitude,Longitude,OID_,IN_FID,NEAR_FID,NEAR_DIST,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE,OBJECTID,Shape_Leng,ID,gages,NHDWaterbo
59,DOLBEDCO,38.310268000000001,-108.885381000000000,59,59,1245417,0.000713998119229,-108.885381000000000,38.310268000000001,-108.885976903000000,38.310661309700002,146.574281767000000,1245417,0.066724860528900,18382377,       09169500,-9999
60,BLUPENCO,39.429721999999998,-106.042778000000000,60,60,1346419,0.000277148410445,-106.042778000000000,39.429721999999998,-106.042576577000010,39.429531631899998,-43.383738334699999,1346419,0.032797750053200,1314695, ,-9999
61,FREGULCO,39.493042000000003,-106.044741000000000,61,61,1347835,0.000443704022500,-106.044741000000000,39.493042000000003,-106.044593298000000,39.493460398600000,70.556073906999998,1347835,0.050447157698000,1314633, ,-9999
62,MCCDIVCO,39.380822000000002,-106.071130000000000,62,62,1346648,0.001714534935700,-106.071130000000000,39.380822000000002,-106.070920740000010,39.382523716900003,82.989542326000006,1346648,0.039668566094100,1314767, ,-9999
63,BLURESCO,39.387481999999999,-106.100577000000000,63,63,1346650,0.002153029454810,-106.100577000000000,39.387481999999999,-106.100340215000000,39.385342030700002,-83.685980711799999,1346650,0.005684714975230,1314707, ,-9999
64,VIDTUNCO,39.624431000000001,-105.790008000000000,64,64,1347787,0.007569366474440,-105.790008000000000,39.624431000000001,-105.797557080000000,39.624984804999997,175.804263595000010,1347787,0.073900895931700,1314063, ,-9999
65,REDSANCO,39.682763999999999,-106.401418000000010,65,65,1345297,0.000185611943996,-106.401418000000010,39.682763999999999,-106.401238015999990,39.682809360199997,14.145304712400000,1345297,0.021779870987500,1319008, ,-9999
66,TURREDCO,39.522602999999997,-106.336550000000000,66,66,1346843,0.000138237680565,-106.336550000000000,39.522602999999997,-106.336602251000000,39.522730982200002,112.208753695000000,1346843,0.008159180180960,1319880, ,-9999
67,CRYCARCO,39.408039000000002,-107.230330000000000,67,67,1343151,0.000714648041622,-107.230330000000000,39.408039000000002,-107.229797011000000,39.408515072000000,41.771600596399999,1343151,0.009091660027870,1325941, ,-9999
68,CASCRECO,39.193832999999998,-106.833667000000010,68,68,1344505,0.000066283955182,-106.833667000000010,39.193832999999998,-106.833709594000000,39.193782212899997,-129.985695518000000,1344505,0.059127834212700,1327159,       09075400,-9999
