,FID,DWR_ID,Latitude,Longitude,OID_,IN_FID,NEAR_FID,NEAR_DIST,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE,OBJECTID,Shape_Leng,ID,gages,NHDWaterbo
46,105,GREWASCO,40.423088,-104.677366,105,105,1597402,0.00013166641112,-104.677366,40.423088,-104.677390277,40.422958591,-100.624982664,1597402,0.0663221506702,2903261, ,-9999
47,106,SVCLOPCO,40.153341,-105.075695,106,106,1598121,6.664611033e-06,-105.075695,40.153341,-105.07569725,40.1533347265,-109.727374504,1598121,0.0452147858364,2888860, ,-9999
48,107,SVCPLACO,40.258038,-104.8797,107,107,1598104,0.000370936548257,-104.8797,40.258038,-104.879911682,40.2583426056,124.796941016,1598104,0.0224938508385,2890908, ,-9999
49,108,PLACHACO,39.562484,-105.059711,108,108,1349332,0.000361062217779,-105.059711,39.562484,-105.059407879,39.5622878274,-32.909992022,1349332,0.020349729274,188319, ,-9999
50,109,BCRSHECO,39.65221,-105.033035,109,109,1348887,7.8979601636e-05,-105.033035,39.65221,-105.03300646,39.6522836426,68.8161619576,1348887,0.106054537073,188631, ,-9999
51,110,PLAANTCO,38.993326,-105.890017,110,110,1347073,0.000603222789941,-105.890017,38.993326,-105.889941879,38.992727473,-82.8462258263,1347073,0.02246988751,5241890, ,-9999
52,114,CHERESCO,39.207209,-105.272217,114,114,1348403,0.000610170829351,-105.272217,39.207209,-105.27229175,39.2078145748,97.0368041612,1348403,0.0106467505552,190747, ,-9999
53,115,CHERESCO,39.207209,-105.272217,115,115,1348403,0.000610170829351,-105.272217,39.207209,-105.27229175,39.2078145748,97.0368041612,1348403,0.0106467505552,190747, ,-9999
54,116,MCRAUGCO,38.737857,-104.70603,116,116,1235962,0.00131989035407,-104.70603,38.737857,-104.707091615,38.738641273,143.544692735,1235962,0.00364328367311,1531385, ,-9999
55,117,RFHCANCO,38.184444,-104.178025,117,117,1233688,0.00123035081244,-104.178025,38.184444,-104.178686068,38.1854816667,122.50005666,1233688,0.0390484541152,974472, ,-9999
56,118,GRECRKCO,37.921917,-104.57061,118,118,1235138,0.00551612209259,-104.57061,37.921917,-104.569357281,37.916545008,-76.8735216514,1235138,0.0696664897402,1425316, ,-9999
57,119,SHRDITCO,37.921917,-104.57061,119,119,1235138,0.00551612209259,-104.57061,37.921917,-104.569357281,37.916545008,-76.8735216514,1235138,0.0696664897402,1425316, ,-9999
58,121,FLSCANCO,38.113888,-103.778288,121,121,1233633,7.2978629371e-05,-103.778288,38.113888,-103.778290104,38.1138150517,-91.6518336706,1233633,0.152618206218,941020085, ,-9999
59,122,HOLCANCO,38.115277,-103.788007,122,122,1233821,0.000384995107052,-103.788007,38.115277,-103.788018177,38.1156618328,91.6636321902,1233821,0.0706639294352,976120, ,-9999
60,123,MERRESCO,38.148059,-103.747178,123,123,1233821,0.000232586184375,-103.747178,38.148059,-103.74736333,38.1481995322,142.827585359,1233821,0.0706639294352,976120, ,-9999
61,125,MEROUTCO,38.133889,-103.758842,125,125,1233821,0.00037681137731,-103.758842,38.133889,-103.758655676,38.1335614789,-60.3647769449,1233821,0.0706639294352,976120, ,-9999
62,126,SUGARCCO,38.26333,-103.75967,126,126,1233766,0.0286894487799,-103.75967,38.26333,-103.732434883,38.272348474,18.321464282,1233766,0.0126875926862,975330, ,-9999
63,127,HOEDITCO,37.25,-104.403336,127,127,971802,0.00139682163647,-104.403336,37.25,-104.403061919,37.248630332,-78.6841485412,971802,0.0410084699218,938098, ,-9999
64,132,RIORESCO,37.721935,-107.267565,132,132,965513,0.00113707116302,-107.267565,37.721935,-107.267146154,37.7208778817,-68.3858105655,965513,0.030216277253,17906283, ,-9999
65,133,PINDELCO,37.591671,-106.450035,133,133,967628,0.000194542999181,-106.450035,37.591671,-106.449870395,37.5917746931,32.2089557398,967628,0.012265224449,17896115, ,-9999
66,134,ALATERCO,37.374729,-106.334755,134,134,967657,3.545686895e-06,-106.334755,37.374729,-106.334752044,37.3747309585,33.5290019765,967657,0.0609854020964,17898807, ,-9999
67,135,LAJCAPCO,37.208897,-106.188362,135,135,968559,0.000128376351376,-106.188362,37.208897,-106.18827713,37.2088006796,-48.6161138959,968559,0.0702799498402,17898861, ,-9999
68,136,CONCONCO,37.103066,-106.012244,136,136,969130,0.0028933404497,-106.012244,37.103066,-106.011138279,37.100392276,-67.5324144859,969130,0.0350136344859,17875505, ,-9999
69,137,MANDITCO,37.109176,-106.009197,137,137,969116,0.00581995394501,-106.009197,37.109176,-106.006016013,37.104302276,-56.8682792145,969116,0.00614003505437,17875487, ,-9999
70,138,RIOTRICO,37.31612,-105.742798,138,138,968520,0.000350351940417,-105.742798,37.31612,-105.742450297,37.316163003,7.05038858711,968520,0.0439287291875,17900363, ,-9999
71,139,ROMDITCO,37.089447,-106.042251,139,139,969131,0.00329251543938,-106.042251,37.089447,-106.041392879,37.086268276,-74.8926841713,969131,0.0124007223657,17875509, ,-9999
72,140,TRITURCO,37.374733,-105.295013,140,140,970174,0.000259934330871,-105.295013,37.374733,-105.294903094,37.374968556,64.9872272588,970174,0.107462439427,17900353, ,-9999
73,141,UTEFTGCO,37.447224,-105.425835,141,141,970072,6.3468546789e-05,-105.425835,37.447224,-105.42577589,37.4472008871,-21.356122308,970072,0.0975564543351,17900333, ,-9999
74,142,NORLUXCO,38.788319,-107.739784,142,142,1242778,0.000110314325966,-107.739784,38.788319,-107.739694399,38.78825465,-35.6852930877,1242778,0.036385072439,1337986, ,-9999
75,143,RLCGRJCO,39.030537,-108.564814,143,143,1339493,0.00167350597246,-108.564814,39.030537,-108.563359346,39.0313644081,29.6312480301,1339493,0.0117146694453,3229991, ,-9999
76,144,RLCGRJCO,39.030537,-108.564814,144,144,1339493,0.00167350597246,-108.564814,39.030537,-108.563359346,39.0313644081,29.6312480301,1339493,0.0117146694453,3229991, ,-9999
77,145,TCBWTCCO,39.510364,-106.141748,145,145,1346510,0.000762259903172,-106.141748,39.510364,-106.141680052,39.5096047746,-84.8858764499,1346510,0.020970201471,1312989, ,-9999
78,147,DURPIPCO,37.343882,-107.720621,147,147,964964,0.00391256746206,-107.720621,37.343882,-107.719144436,37.3402587498,-67.8278878211,964964,0.0317002884308,17014779, ,-9999
79,148,FLOCANCO,37.31278,-107.772005,148,148,964962,5.3211164572e-05,-107.772005,37.31278,-107.772040022,37.3128200615,131.159763276,964962,0.0375737838127,17014821, ,-9999
80,149,DOVCANCO,37.47082,-108.5301,149,149,961692,0.00179074883429,-108.5301,37.47082,-108.528309559,37.4707867722,-1.06319761297,961692,0.00548075355793,18385375, ,-9999
